text,user_location,tweet_date,time,city
"Se a pessoa não foi capaz de sofrer por 10, 1000, 2000 ou 3869 mortes por #COVID19, ela não terá! Nem mesmo quando seu pai ou mãe morrer. Receio que esses, infelizmente sejam os - de 30% que ainda apoiam o genocida. São minoria. #ForaBolsonaro #ImpeachmentBolsonaroUrgente","São Carlos, Brasil",2021-04-01,06:20:17,São Carlos
"A pref de SP definiu q as aulas presenciais serão retomadas a partir de 12 de abril, se a fase emergencial se encerrar no dia 11, como está previsto #coronavirus #COVID","São Paulo, Brasil",2021-04-01,06:32:32,São Paulo
É viramos piada internacional. Não que seja eu contra as orações e atitudes de fé.,"Recife, Brasil",2021-04-01,06:19:44,Recife
"A PF tem que investigar as mortes por Covid19, exumar corpos, colocar governadores e prefeitos na cadeia!!!","São Paulo, Brasil",2021-04-01,06:08:48,São Paulo
Eterno tio Barnabé. Descanse em paz,"Rio de Janeiro, Brasil",2021-04-01,06:10:55,Rio de Janeiro
"Na prática, portanto, em SP a maior parte das escolas particulares deve permanecer fechada na próxima semana, e as municipais não serão abertas porque a prefeitura está operando com vale-alimentação para os alunos #coronavirus #COVID","São Paulo, Brasil",2021-04-01,06:32:33,São Paulo
Grande ator. Mais um que se vai do mundo da arte!! Descanse em paz! Será eterno companheiro,"Rio de Janeiro, Brasil",2021-04-01,06:21:30,Rio de Janeiro
Pesquisa coordenada pela USP aponta q o índice de infecções pelo #coronavirus em atletas de torneios da Fed Paulista de Futebol na temporada passada é semelhante ao de profissionais de saúde q atuam na linha de frente de combate à pandemia,"São Paulo, Brasil",2021-04-01,06:11:09,São Paulo
"A parada é tão calamitosa, que no mês de abril se continuar nesse patamar de mortes por covid19, sendo muito simples o cálculo de + ou - 100 mil mortes até o dia 30. É inacreditável o que esse governo do Bolsonaro e de seus amiguinhos (deputados/senadores/governadores/prefeitos)","Niterói,Brasil",2021-04-01,06:07:28,Niterói
"“Não podemos nem pensar nisso agora, estamos no auge da crise. A gente tem q ter umas 4 semanas de estabilidade p/ pensar em reabertura, eu acho. Não dá para fazer isso agora”, disse o infectologista Unaí Tupinambás #COVID19 #coronavirus #COVID","São Paulo, Brasil",2021-04-01,06:06:58,São Paulo
"LISTEM O TOKEN INNBC,TOKEN CRIADO PARA SALVAR A HUMANIDADE DO CÂNCER HIV E COVID-19","Santos, Brasil",2021-04-01,06:08:00,Santos
mds eu to tão triste 😭,"São Paulo, Brasil",2021-04-01,06:23:57,São Paulo
"Brasil pode ter no fim de maio mesmo número de mortes por covid-19 registrado em 2020, aponta estudo. #pandemia #fiqueemcasa #vemvacina","São Paulo, Brasil",2021-04-01,06:45:03,São Paulo
